ObjectType,ObjectCategoryName,ObjectTypeCV,AttributeName,AttributeCategoryName,AttributeNameCV 
"WASH Global Attributes",,"Network","Z",,"Watershed Area of Suitable Habitat"
"WASH Global Attributes",,"Network","b",,"Cost"
"dem",,"Demand site","Dvalue",,
"dem",,"Demand site","cons",,
"dem",,"Demand site","dReq",,"Flow"
"s",,"Stream","DiversionExist",,
"s",,"Stream","Func_typ",,
"s",,"Stream","InitC",,
"s",,"Stream","InitD",,
"s",,"Stream","LinkID",,
"s",,"Stream","LinkOutReservoir",,
"s",,"Stream","LinktoReservoir",,
"s",,"Stream","WetlandsExist",,
"s",,"Stream","aw",,
"s",,"Stream","envSiteExist",,
"s",,"Stream","fci_indx",,
"s",,"Stream","fci_monthYear",,
"s",,"Stream","fci_par1",,
"s",,"Stream","fci_par2",,
"s",,"Stream","fci_par3",,
"s",,"Stream","fci_par4",,
"s",,"Stream","h",,
"s",,"Stream","linkexist",,
"s",,"Stream","lng",,
"s",,"Stream","lss",,
"s",,"Stream","returnFlowExist",,
"s",,"Stream","rsi_indx",,
"s",,"Stream","rsi_par1",,
"s",,"Stream","rsi_par2",,
"s",,"Stream","rsi_par3",,
"s",,"Stream","rsi_par4",,
"s",,"Stream","rv",,
"s",,"Stream","sf_par1",,
"s",,"Stream","sf_par2",,
"s",,"Stream","sf_par_indx",,
"s",,"Stream","wf_par1",,
"s",,"Stream","wf_par2",,
"s",,"Stream","wf_par_indx",,
"s",,"Stream","wght-floodplain",,
"s",,"Stream","wght-riverine",,
"s",,"Stream","wght-wetlands",,
"s",,"Stream","wsi_par1",,
"s",,"Stream","wsi_par2",,
"s",,"Stream","wsi_par_indx",,
"v",,"Reservoir","LinkOutReservoir",,
"v",,"Reservoir","LinktoReservoir",,
"v",,"Reservoir","RA_par",,"Reservoir bathymetry curve"
"v",,"Reservoir","RA_par1",,"Factor"
"v",,"Reservoir","RA_par2",,"Factor"
"v",,"Reservoir","RA_par3",,"Factor"
"v",,"Reservoir","evap",,"Evaporation"
"v",,"Reservoir","initSTOR",,"Volume"
"v",,"Reservoir","maxstor",,"Volume"
"v",,"Reservoir","minstor",,"Volume"
