WASHObjectType,WASHAttributeName
"WASH Global Attributes","Z"
"WASH Global Attributes","b"
"dem","Dvalue"
"dem","cons"
"s","DiversionExist"
"s","Func_typ"
"s","InitC"
"s","InitD"
"s","LinkID"
"s","LinkOutReservoir"
"s","LinktoReservoir"
"s","WetlandsExist"
"s","aw"
"s","envSiteExist"
"s","fci_indx"
"s","fci_monthYear"
"s","fci_par1"
"s","fci_par2"
"s","fci_par3"
"s","fci_par4"
"s","h"
"s","linkexist"
"s","lng"
"s","lss"
"s","returnFlowExist"
"s","rsi_indx"
"s","rsi_par1"
"s","rsi_par2"
"s","rsi_par3"
"s","rsi_par4"
"s","rv"
"s","sf_par1"
"s","sf_par2"
"s","sf_par_indx"
"s","wf_par1"
"s","wf_par2"
"s","wf_par_indx"
"s","wght-floodplain"
"s","wght-riverine"
"s","wght-wetlands"
"s","wsi_par1"
"s","wsi_par2"
"s","wsi_par_indx"
"v","LinkOutReservoir"
"v","LinktoReservoir"
"v","RA_par1"
"v","RA_par2"
"v","RA_par3"
